img,csf,gm,wm
1005,0.788579676,0.710578318,0.688685455
1003,0.616269586,0.750275204,0.722821395
1004,0.752557274,0.751415947,0.730937972
1125,0.384787617,0.690808765,0.746580992
1122,0.829379301,0.756650949,0.731760294
1113,0.772837003,0.747340993,0.691577541
1101,0.804282023,0.742300278,0.750882023
1107,0.761433952,0.761477808,0.754933291
1019,0.667534848,0.727867731,0.699950661
1018,0.771612254,0.752283657,0.733928285
1039,0.692936314,0.729943508,0.693412717
1038,0.775080745,0.751544391,0.724707145
1119,0.752056206,0.724606705,0.686528843
1110,0.760083657,0.741743375,0.713534869
1128,0.469048548,0.684918312,0.724118374
1116,0.804046657,0.732610005,0.725564661
1104,0.783338646,0.739695479,0.741502775
1025,0.772053621,0.707591308,0.707264516
1024,0.733146737,0.749699709,0.754429502
1023,0.618893072,0.746441914,0.729835268
,14.30995774,14.69979436,14.45295658
,0.71,73,72
